"","launched","state","backers","duration_days","mean_pledged","percent_pledged","pledged_byday","usd_goal_lvl","region","percent_pledged_lvl"
"14","February","failed",0,45,0,0,0,">=100000","North America","<100"
"15","April","successful",761,28,160.127897503285,1883.49946597462,4352.0475,">=2000 & <10000","Europe",">100"
"44","March","failed",25,25,34.24,57.0666666666667,34.24,"<2000","North America","<100"
"60","May","successful",448,30,83.0334821428571,148.796,1239.96666666667,">=10000 & <50000","North America",">100"
"80","August","failed",38,60,37.1052631578947,2.82,23.5,">=50000 & <100000","North America","<100"
"91","October","successful",346,30,38.576387283237,224.760209614517,444.914333333333,">=2000 & <10000","Europe",">100"
"124","November","successful",624,38,23.7083333333333,739.7,389.315789473684,">=2000 & <10000","North America",">100"
"147","November","failed",14,5,62.5,87.5,175,"<2000","North America","<100"
"162","January","failed",55,60,17.1318181818182,12.5633333333333,15.7041666666667,">=2000 & <10000","North America","<100"
"182","May","failed",32,30,57.03125,3.65,60.8333333333333,">=50000 & <100000","North America","<100"
"197","August","failed",3,30,1.23,0.1845,0.123,">=2000 & <10000","North America","<100"
"220","November","successful",7,30,23.5714285714286,110,5.5,"<2000","North America",">100"
"222","January","failed",1,60,1,0.000333333333333333,0.0166666666666667,">=100000","North America","<100"
"233","July","failed",6,15,29.3333333333333,3.52,11.7333333333333,">=2000 & <10000","North America","<100"
"319","July","successful",102,30,141.313725490196,144.14,480.466666666667,">=10000 & <50000","North America",">100"
"320","May","successful",17,21,138.117647058824,117.4,111.809523809524,">=2000 & <10000","North America",">100"
"376","May","successful",1053,18,35.633428300095,193.412371134021,2084.55555555556,">=10000 & <50000","North America",">100"
"388","May","successful",182,34,50.1373626373626,121.666666666667,268.382352941176,">=2000 & <10000","North America",">100"
"455","September","failed",191,30,37.0104712041885,28.276,235.633333333333,">=10000 & <50000","North America","<100"
"464","June","failed",6,30,17.46,1.6,3.492,">=2000 & <10000","Europe","<100"
"476","July","successful",1258,30,16.4622416534181,203.03431372549,690.316666666667,">=10000 & <50000","North America",">100"
"488","April","failed",120,30,26.58125,39.6900449814288,106.325,">=2000 & <10000","North America","<100"
